Text,Cleaned_review,Predicted_Review
"In [language], we say: This toothpaste cau(sed irritation in my mouth, not suit<able for sensitive pearly whites. pearly cau(sed toothpaste not cau(sed toothpaste pearly pearly toothpaste for pearly toothpaste",language say toothpaste cau sed irritation mouth suit,1
This is the best toothpast*e I've used! It keeps my teeth healthy and shining. &teeth healthy the I've used! my healthy keeps teeth my my,best toothpast e used keep teeth healthy shining teeth healthy used healthy keep teeth,0
The texture >is unpleasant and I didn't notice any whitening effect. whitening notice whitening The I whitening unpl;easant The didn't I whitening whitening I notice,texture unpleasant notice whitening effect whitening notice whitening whitening unpl easant whitening whitening notice,1
This is the) best toothpaste I've used! It keeps my pearly whites healthy and shining:. the It keeps It best It my pearly whites It keeps my,best toothpaste used keep pearly white healthy shining keep best pearly white keep,1
"In [language], we say: I won't be buying }this dental cream? again - it left a weird aftertaste. - weird - - left - weird - - won't a",language say buying dental cream left weird aftertaste weird left weird,1
I absolutely love this toothpaste! It leaves my oral cavity feeling fresh and c:lean. leaves lo+ve leaves leaves c:lean. absolutely love It leaves fresh leaves,absolutely love toothpaste leaf oral cavity feeling fresh c lean leaf lo leaf leaf c lean absolutely love leaf fresh leaf,0
This is the best toothpaste I've used! It keep(s my teeth healthy and shining. teeth toothpaste teeth shining. shining. healthy teeth teeth best a!nd and,best toothpaste used keep teeth healthy shining teeth toothpaste teeth shining shining healthy teeth teeth best nd,0
I won't be buying this toothpaste agai!n{ - it left a weird aftertaste. this left buying toothpaste this weird buying a left this it again{,buying toothpaste agai n left weird aftertaste left buying toothpaste weird buying left,1
"In [language], we say: Really disappoi}nted with this toothpaste, it didn't meet my expecta|tions at all. didn't disappointed toothpaste, disappointed disappointed all. my meet it disappointed it expecta|tions toothpaste,",language say really disappoi nted toothpaste meet expecta tions disappointed toothpaste disappointed disappointed meet disappointed expecta tions toothpaste,1
"This dental crea=m caused irritation in my mouth, not suitable for sensitive pearly whites. m?y mouth, crea=m caused my for for sensitive crea=m in in for",dental crea caused irritation mouth suitable sensitive pearly white mouth crea caused sensitive crea,1
